"date","wtr_yr","weighted_swe.mm","weighted_precip.mm","weighted_pcumul.mm","m3_s","mm_day","Tmax_c","Tmean_c","Tmin_c","RHmin","RHmax","month","day","SWEdiff.mm","Pdiff.mm","input.mm"
2017-10-01,2018,13.3152,26.77668,26.77668,0.00862327024708839,0.282216117177438,5.55,0.8,-3.95,43.1,90.6,"10","01",0,0,0
2017-10-02,2018,46.6908,7.65048,34.42716,0.00743262317944718,0.243249485872817,1.95,-1.6,-5.15,60.3,91.75,"10","02",33.3756,7.65048,0
2017-10-03,2018,53.436,1.91262,36.33978,0.00714875203613118,0.233959157546111,5.25,-0.7,-6.65,41.2,91.25,"10","03",6.7452,1.91262,0
2017-10-04,2018,53.436,0,36.33978,0.00703656312848214,0.230287520568506,12.75,6.2,-0.35,28.85,85.95,"10","04",0,0,0
2017-10-05,2018,51.1584,0,36.33978,0.00704443454964855,0.230545130715771,12.75,6.65,0.55,27.45,78.6,"10","05",-2.2776,0,2.2776
2017-10-06,2018,48.9684,0,36.33978,0.00723109141282686,0.236653900783425,4.75,0.25,-4.25,32.95,70.35,"10","06",-2.19,0,2.19
2017-10-07,2018,48.9684,0,36.33978,0.00720129708831976,0.235678813799556,9.95,3.2,-3.55,21,65.05,"10","07",0,0,0
2017-10-08,2018,48.9684,0,36.33978,0.0072654684904275,0.237778968777627,11.35,2.5,-6.35,18.55,74.95,"10","08",0,0,0
2017-10-09,2018,46.6908,1.91262,38.2524,0.00744639310327884,0.243700137925489,-5.25,-7.8,-10.35,56.8,87.8,"10","09",-2.2776,1.91262,0
2017-10-10,2018,46.6908,1.91262,40.16502,0.00758526522244852,0.24824504364377,7.45,-1.8,-11.05,15.35,67.25,"10","10",0,1.91262,0
2017-10-11,2018,48.9684,1.91262,42.07764,0.00767103878670723,0.251052178474055,11.05,4.1,-2.85,12.25,47.15,"10","11",2.2776,1.91262,0
2017-10-12,2018,51.1584,0,42.07764,0.00774963304360382,0.253624354154307,11.25,5.05,-1.15,19.05,62.6,"10","12",2.19,0,0
2017-10-13,2018,51.1584,0,42.07764,0.00437857157562147,0.143298706111248,9.35,3.45,-2.45,20.65,64.35,"10","13",0,0,0
2017-10-14,2018,51.1584,0,42.07764,0.00436443676441736,0.142836112290023,2.65,-3.3,-9.25,28.2,74.85,"10","14",0,0,0
2017-10-15,2018,51.1584,0,42.07764,0.00425654414110267,0.139305080981542,7.45,-0.1,-7.65,16.2,63,"10","15",0,0,0
2017-10-16,2018,51.1584,0,42.07764,0.00422183182506987,0.138169041547741,10.95,4.35,-2.25,12.35,48.15,"10","16",0,0,0
2017-10-17,2018,51.1584,0,42.07764,0.00422019212486914,0.138115378632081,10.65,4.2,-2.25,11.1,41.55,"10","17",0,0,0
2017-10-18,2018,51.1584,0,42.07764,NA,NA,11.25,5.3,-0.65,12.25,42.45,"10","18",0,0,0
2017-10-19,2018,51.1584,0,42.07764,NA,NA,12.15,5.9,-0.35,16.1,52.75,"10","19",0,0,0
2017-10-20,2018,51.1584,1.91262,43.99026,NA,NA,10.45,2.15,-6.15,27.45,96.6,"10","20",0,1.91262,1.91262
2017-10-21,2018,55.626,0,43.99026,NA,NA,-4.35,-7.1,-9.85,46.6,75.65,"10","21",4.4676,0,0
2017-10-22,2018,55.626,0,43.99026,NA,NA,4.65,-1.05,-6.75,27.6,70.6,"10","22",0,0,0
2017-10-23,2018,55.626,0,43.99026,NA,NA,5.25,0.5,-4.25,31.2,74.05,"10","23",0,0,0
2017-10-24,2018,55.626,0,43.99026,NA,NA,5.05,-0.25,-5.55,23.6,62.25,"10","24",0,0,0
2017-10-25,2018,55.626,0,43.99026,NA,NA,11.65,4.45,-2.75,15.45,57.3,"10","25",0,0,0
2017-10-26,2018,55.626,0,43.99026,NA,NA,3.75,-3,-9.75,29.25,91.35,"10","26",0,0,0
2017-10-27,2018,55.626,0,43.99026,NA,NA,-1.65,-6.4,-11.15,34.25,77.5,"10","27",0,0,0
2017-10-28,2018,55.626,0,43.99026,NA,NA,-1.45,-3.55,-5.65,50.25,80.4,"10","28",0,0,0
2017-10-29,2018,57.816,0,43.99026,NA,NA,6.35,0.15,-6.05,27.65,87.5,"10","29",2.19,0,0
2017-10-30,2018,60.0936,0,43.99026,NA,NA,-0.55,-3.3,-6.05,50.65,77.15,"10","30",2.27759999999999,0,0
2017-10-31,2018,60.0936,0,43.99026,NA,NA,0.75,-1.9,-4.55,44.45,73.7,"10","31",0,0,0
2017-11-01,2018,60.0936,1.91262,45.90288,NA,NA,4.85,1.75,-1.35,28.5,47.85,"11","01",0,1.91262,1.91262
2017-11-02,2018,62.2836,0,45.90288,NA,NA,7.55,2.8,-1.95,30.45,71.95,"11","02",2.19,0,0
2017-11-03,2018,62.2836,0,45.90288,NA,NA,7.35,2.15,-3.05,28.3,68.8,"11","03",0,0,0
2017-11-04,2018,62.2836,0,45.90288,NA,NA,2.25,-0.4,-3.05,43.4,66.15,"11","04",0,0,0
2017-11-05,2018,62.2836,5.73786,51.64074,NA,NA,0.45,-1.7,-3.85,48.15,70.15,"11","05",0,5.73786,0
2017-11-06,2018,68.9412,1.91262,53.55336,NA,NA,1.35,-2.3,-5.95,43,75.85,"11","06",6.65760000000002,1.91262,0
2017-11-07,2018,71.2188,7.65048,61.20384,NA,NA,-0.95,-6.05,-11.15,56.85,100,"11","07",2.27759999999999,7.65048,0
2017-11-08,2018,80.0664,0,61.20384,NA,NA,4.45,-4.5,-13.45,27.55,84.8,"11","08",8.8476,0,0
2017-11-09,2018,80.0664,1.91262,63.11646,NA,NA,6.25,-0.4,-7.05,17.5,57.65,"11","09",0,1.91262,0
2017-11-10,2018,82.344,0,63.11646,NA,NA,6.85,1.35,-4.15,25,65.5,"11","10",2.27759999999999,0,0
2017-11-11,2018,82.344,0,63.11646,NA,NA,2.55,-2.95,-8.45,36.45,91,"11","11",0,0,0
2017-11-12,2018,82.344,0,63.11646,NA,NA,4.65,-1.95,-8.55,24.25,76.25,"11","12",0,0,0
2017-11-13,2018,82.344,0,63.11646,NA,NA,7.55,2.75,-2.05,21.35,53.05,"11","13",0,0,0
2017-11-14,2018,84.534,0,63.11646,NA,NA,6.95,0.3,-6.35,23.95,72.95,"11","14",2.19000000000001,0,0
2017-11-15,2018,84.534,0,63.11646,NA,NA,4.25,-1.35,-6.95,24.15,66.7,"11","15",0,0,0
2017-11-16,2018,84.534,1.91262,65.02908,NA,NA,7.65,2.45,-2.75,24.95,59,"11","16",0,1.91262,1.91262
2017-11-17,2018,86.8116,7.65048,72.67956,NA,NA,1.55,-5.95,-13.45,49.55,100,"11","17",2.27759999999999,7.65048,0
